"plot_visit","one_hour","ten_hour","hundred_hour","fwd","thousand_sound","thousand_rotten","one_to_thousand","duff","litter","total","region"
"nc36_1997_-2_-2",0.7,1.2,0,1.9,0,0,1.9,32.2,9.3,43.4,"North Cascades"
"nc36_2002_-1_-1",1.3,0.6,0,1.9,0,0,1.9,32.5,8.3,42.7,"North Cascades"
"nc36_2020_02_02",1.2,3.2,1.9,6.4,13.4,16.2,36,16.2,8.7,60.8,"North Cascades"
"nc36_2003_02_01",1.6,3.5,4.5,9.6,9.4,0,19,15,8,41.9,"North Cascades"
"nc36_2004_04_00",0.6,2.3,0.6,3.6,9.4,0,13,23.7,4.3,41,"North Cascades"
"nc36_2005_04_01",0.9,1.9,0.6,3.5,10.4,0,13.8,7.2,8.9,29.9,"North Cascades"
"nc36_2006_04_02",2.3,3.8,0.6,6.7,9.5,0,16.2,13.8,15.6,45.7,"North Cascades"
"nc36_2009_04_05",1.7,3.3,1.3,6.4,15,0,21.3,29.7,10.9,62,"North Cascades"
"nc36_2019_04_15",1.2,3.9,1.3,6.4,5.9,25.2,37.5,20.3,11.6,69.4,"North Cascades"
"nc36_2014_04_10",1,3.8,0.6,5.4,11.1,2,18.4,17.7,7.7,43.9,"North Cascades"
"nc37_1997_-2_-2",1.7,2,5.2,8.8,7.5,0,16.4,50.9,16.7,84,"North Cascades"
"nc37_2002_-1_-1",1.6,1.4,1.9,5,0.2,0,5.2,54,11.2,70.4,"North Cascades"
"nc37_2020_02_02",2.1,3.3,3.3,8.7,6.5,7.5,22.7,25.1,13.6,61.4,"North Cascades"
"nc37_2003_02_01",2.8,2.6,2.6,7.9,5.8,0,13.7,37.4,16.4,67.5,"North Cascades"
"nc37_2004_04_00",0.2,0.6,0,0.8,6.6,0,7.3,21.4,4.8,33.5,"North Cascades"
"nc37_2005_04_01",1,1.4,1.3,3.8,8.1,0,11.8,12.1,11.4,35.4,"North Cascades"
"nc37_2006_04_02",1.8,0.3,1.9,4,6.1,1.4,11.6,18,15.8,45.3,"North Cascades"
"nc37_2009_04_05",2,11.9,4.5,18.3,7.6,0,26,25.3,19.6,70.8,"North Cascades"
"nc37_2019_04_15",1.4,3.2,1.9,6.5,13.7,7.2,27.4,20.5,13.1,61.1,"North Cascades"
"nc37_2014_04_10",0.8,5.4,1.9,8.1,11.9,0.7,20.8,13,15.3,49.1,"North Cascades"
"nc38_2001_-1_-1",1.3,7.5,6.4,15.2,9.8,2.6,27.6,84.1,15.2,126.9,"North Cascades"
"nc38_2008_02_02",1.5,11.4,34.1,47,24.3,6.1,77.4,37,26.2,140.5,"North Cascades"
"nc38_2002_02_01",1.5,10,5.2,16.7,15.8,9.6,42.1,59.4,7.8,109.2,"North Cascades"
"nc38_2005_04_00",0.5,8.4,7.7,16.6,17.7,0,34.3,30.6,24.2,89.1,"North Cascades"
"nc38_2007_04_02",1.3,8.4,9.7,19.3,14.5,5.1,39,38.5,14.6,92.1,"North Cascades"
"nc38_2011_08_01",0.2,0.6,4.5,5.3,30.3,4.9,40.6,11.1,8.7,60.4,"North Cascades"
"nc38_2010_07_05",2.1,8.5,29.6,40.2,28.3,7.3,75.8,43.1,14.6,133.5,"North Cascades"
"nc38_2015_08_05",0.9,2.6,3.9,7.4,10,14.5,31.9,9.4,15.2,56.4,"North Cascades"
"nc38_2010_08_00",0.4,0.4,3.9,4.7,19,5.3,29,13.4,8.6,50.9,"North Cascades"
"nc38_2012_08_02",0.2,2.2,1.9,4.3,15.9,3.2,23.4,4.9,5.7,34,"North Cascades"
"nc38_2020_08_10",1,2.2,8.4,11.5,12.6,19.8,43.9,21.1,32.8,97.8,"North Cascades"
"nc39_2005_-1_-1",0.7,5,0.6,6.3,6,1.8,14.1,34.6,19.8,68.5,"North Cascades"
"nc39_2005_02_01",2.5,10.3,4.5,17.4,22,2.2,41.6,26.1,18.8,86.5,"North Cascades"
"nc39_2007_02_03",1.4,5.1,2.6,9.1,26.6,91.2,126.9,36.4,25.3,188.6,"North Cascades"
"nc39_2007_04_00",0,0.1,0,0.2,10.9,2.6,13.7,11.8,6.2,31.7,"North Cascades"
"nc39_2008_04_01",0.5,1.7,0,2.2,19.9,0,22.2,7.2,8.7,38.1,"North Cascades"
"nc39_2009_04_02",0.6,1.6,0,2.2,16.5,0,18.7,3.6,7.1,29.3,"North Cascades"
"nc39_2012_04_05",0.7,2.8,1.3,4.8,14.5,0,19.2,3.6,4.6,27.4,"North Cascades"
"nc39_2017_04_10",1.1,2.6,0.6,4.3,10.1,17.7,32.2,3,9.1,44.3,"North Cascades"
"nc41_2005_-1_-1",0.7,1.9,0.6,3.2,2.7,14,19.9,3.9,4,27.8,"North Cascades"
"nc41_2006_02_01",2.9,7.4,2.6,12.8,14.2,27,54.1,13.4,23.1,90.5,"North Cascades"
"nc42_2005_-1_-1",0.3,1.3,0,1.6,0.5,0,2.2,140.1,11,153.3,"North Cascades"
"nc43_2005_-1_-1",0.6,6.6,1.3,8.5,11.5,4.8,24.8,55.9,24.7,105.4,"North Cascades"
"nc43_2006_02_01",0.9,5.9,7.1,13.9,35,0,48.9,28.7,29.6,107.2,"North Cascades"
"nc44_2005_-1_-1",0.5,3.6,1.3,5.4,16.6,5.2,27.2,22.4,20.7,70.3,"North Cascades"
"nc44_2008_02_02",0.5,1.8,2.6,4.8,18.3,9.4,32.5,35.4,19.5,87.4,"North Cascades"
"nc44_2005_02_01",0.5,3.6,1.3,5.4,16.6,5.2,27.2,22,20.8,70,"North Cascades"
"nc44_2005_04_00",0.3,1,1.9,3.2,13,6.3,22.5,22.9,8.9,54.3,"North Cascades"
"nc44_2006_04_01",0.5,2.2,1.9,4.6,15.4,22.2,42.2,28.7,12.3,83.2,"North Cascades"
"nc44_2007_04_02",0.8,0.3,2.6,3.7,22.5,10.4,36.6,25.8,4.4,66.8,"North Cascades"
"nc44_2010_07_05",2.3,4.1,13,19.4,17.9,3.5,40.8,32.4,12.7,86,"North Cascades"
"nc44_2015_07_10",3.1,15.2,13,31.3,10.9,14.4,56.5,13.1,21.9,91.5,"North Cascades"
"nc44_2020_07_15",3,15.2,10.4,28.6,12.6,15.5,56.7,37.1,20,113.8,"North Cascades"
"nc45_2005_-1_-1",0.8,3.5,1.9,6.2,2.8,5.2,14.2,45.5,27.2,86.9,"North Cascades"
"nc45_2006_02_01",1,3.8,1.9,6.7,10.8,0,17.5,45.8,34,97.3,"North Cascades"
"nc46_2005_-1_-1",1,2.5,3.2,6.7,4.9,0,11.6,41.9,21.6,75.2,"North Cascades"
"nc46_2006_02_01",1,2,5.1,8.2,7.9,0,16.1,48.6,30.8,95.4,"North Cascades"
"nc47_2007_-1_-1",0.7,2.9,4.5,8.1,5,7.5,20.5,32.9,23.7,77.1,"North Cascades"
"nc47_2007_04_00",0.3,1.9,2.3,4.5,2.5,0.4,7.3,30.1,5.8,43.2,"North Cascades"
"nc47_2008_04_01",0.4,2.5,1.9,4.7,2.4,1.4,8.6,23.1,9.2,40.9,"North Cascades"
"nc47_2009_04_02",0.3,2.6,0,2.9,0.7,0.3,3.8,5.7,8.4,17.8,"North Cascades"
"nc47_2012_04_05",0.4,1.9,0,2.3,1.5,0,3.8,2.9,3.3,10,"North Cascades"
"nc47_2017_04_10",0.9,7.2,1.9,10.1,9.3,6.5,25.9,13.2,8.4,47.5,"North Cascades"
"nc48_2007_-1_-1",1.5,9,11.6,22.1,25.3,1.5,48.9,54.3,24.6,127.7,"North Cascades"
"nc48_2007_04_00",0,1,3.9,4.9,34.6,0,39.5,1.4,0.8,41.6,"North Cascades"
"nc48_2008_04_01",0.3,0.1,0,0.4,41.2,0,41.6,0,6.5,48.1,"North Cascades"
"nc48_2009_04_02",0.4,0.6,0.6,1.6,26,0,27.6,6.5,11,45.2,"North Cascades"
"nc48_2012_04_05",0.4,2.6,2.6,5.6,19.5,0.2,25.2,3.8,3.5,32.5,"North Cascades"
"nc48_2017_04_10",0.3,2.2,0.6,3.1,17.9,27.1,48.1,7,4.4,59.6,"North Cascades"
"nc49_2012_-1_-1",0.8,3.8,5.1,9.7,1.2,6.3,17.2,32.2,12.9,62.3,"North Cascades"
"nc49_2017_02_01",1.2,4.8,6.4,12.4,17.6,4.4,34.3,32.6,14.1,81.1,"North Cascades"
"nc49_2018_03_00",1.3,2.9,3.2,7.4,18.1,0.6,26.1,21.5,16.5,64.1,"North Cascades"
"nc49_2019_03_02",1,3.2,4.5,8.7,21.9,3.7,34.2,33.6,15.9,83.7,"North Cascades"
"nc50_2012_-1_-1",1.3,6.2,3.9,11.4,0.3,16.5,28.2,50.6,14.9,93.7,"North Cascades"
"nc51_2012_-1_-1",1,1.2,1.9,4.1,3.6,5,12.7,22.7,12.5,47.8,"North Cascades"
"nc51_2017_02_01",2.6,8.9,3.9,15.4,8,4.2,27.7,22.4,12.9,63,"North Cascades"
"nc51_2019_03_00",2.1,9.9,5.2,17.1,0.4,5.7,23.2,26.4,16.8,66.4,"North Cascades"
"nc51_2020_03_02",2.3,4.4,3.9,10.6,3.1,1.9,15.6,35.4,15.5,66.5,"North Cascades"
"nc52_2017_04_00",0.6,0.7,0.6,1.9,6.6,0.3,8.8,5.2,8.1,22.2,"North Cascades"
"nc52_2018_04_01",0.6,1.4,0.6,2.7,8.9,0.3,12,2.2,6.4,20.6,"North Cascades"
"nc52_2019_04_02",0.6,1.3,1.9,3.8,0,1.9,5.7,7,8.1,20.8,"North Cascades"
"nc52_2015_02_00",1.8,5.4,2.6,9.7,5.5,5.5,20.7,16.8,15.8,53.2,"North Cascades"
"nc53_2017_04_00",0.1,0.7,0,0.8,1.3,1.8,3.9,2.7,4.8,11.4,"North Cascades"
"nc53_2018_04_01",0.5,1,0,1.5,2.8,0,4.3,0.5,4,8.8,"North Cascades"
"nc53_2019_04_02",0.8,1,0,1.8,0,3,4.8,11.4,8.4,24.7,"North Cascades"
"nc53_2015_02_00",2.9,9,4.5,16.4,9.1,4.9,30.4,23.5,17.1,71,"North Cascades"
"nc54_2017_04_00",0.6,1.4,1.3,3.3,0.8,3.1,7.2,11.7,7.5,26.4,"North Cascades"
"nc54_2018_04_01",0.6,1.2,0.6,2.4,0.3,3.2,6,6.6,7,19.6,"North Cascades"
"nc54_2019_04_02",0.5,2,1.3,3.8,3.5,1.1,8.3,10,9.2,27.5,"North Cascades"
"nc54_2015_02_00",1,2.6,0.6,4.3,0.3,5.5,10.1,10.6,16.1,36.7,"North Cascades"
"nc55_2017_04_00",0.7,4.6,1.3,6.6,2.7,0,9.3,10.6,8.1,28,"North Cascades"
"nc55_2018_04_01",0.6,3.9,3.2,7.8,2,0,9.7,3.1,6.1,18.9,"North Cascades"
"nc55_2019_04_02",0.8,3,3.9,7.7,1.6,0.4,9.6,9.9,6.6,26.1,"North Cascades"
"nc55_2015_02_00",1.6,6.9,7.1,15.7,6.9,15.7,38.2,23.4,10.5,72.1,"North Cascades"
"nc56_2015_-1_-1",1.2,6.2,9.7,17.1,38.6,9.7,65.3,35.5,16.5,117.4,"North Cascades"
"nc56_2017_02_01",0.9,5.6,4.5,11.1,46.8,21.7,79.6,38.8,17.6,136,"North Cascades"
"nc56_2018_03_00",1.1,5.5,12.3,18.9,63.9,11.7,94.4,35,12.8,142.2,"North Cascades"
"nc56_2020_03_02",1.2,6.2,8.4,15.9,50.2,19.4,85.5,37,17.4,139.9,"North Cascades"
"nc57_2016_-1_-1",1.3,5.8,2.6,9.7,3,57.3,70,36.5,15.6,122.2,"North Cascades"
"nc57_2017_02_01",1.8,10.6,6.5,18.9,21.1,8.5,48.5,35.2,15,98.8,"North Cascades"
"nc57_2019_03_00",1.2,7.3,7.1,15.6,3.1,22.4,41,32.4,19.7,93.2,"North Cascades"
"nc57_2020_03_02",0.9,5.8,16.2,22.9,15.7,4.9,43.4,37.5,18.2,99.1,"North Cascades"
"nc58_2016_-1_-1",0.3,2.8,1.3,4.3,5.8,78.4,88.5,54.2,11.2,153.9,"North Cascades"
"nc58_2017_02_01",0.4,5.2,1.3,6.9,14.1,49,69.9,38.2,15.5,123.7,"North Cascades"
"nc58_2018_03_00",0.5,3.8,1.9,6.2,34.6,37.8,78.7,15.2,18,111.8,"North Cascades"
"nc58_2019_03_02",0.4,3.9,2.6,6.9,6.1,51.1,64,47,24.2,135.2,"North Cascades"
"nc59_2018_-1_-1",1.4,4.5,13,18.9,4.1,7.2,30.2,57.7,14.6,102.5,"North Cascades"
"nc60_2017_02_01",0.9,2.9,1,4.9,15.5,7.1,27.4,46.8,14.4,88.6,"North Cascades"
"nc60_2019_03_00",1.4,1.5,1.1,4,38.4,13.9,56.3,47.5,23.2,127,"North Cascades"
"nc60_2020_03_02",1.1,2.8,1.5,5.3,38.5,13,56.8,47.1,20.8,124.7,"North Cascades"
"nc61_2018_-2_-2",0.6,5.9,7.2,13.7,11,15.4,40.1,15.8,12.3,68.3,"North Cascades"
"nc62_2018_-1_-1",1.7,3.9,0.6,6.3,0,1.4,7.7,34,23.6,65.3,"North Cascades"
"FPIPO1D10-01_NA_04_02",0.2,2.3,3.3,5.7,3,1.1,9.8,10.7,5.5,25.9,"Lake Roosevelt"
"FPIPO1D10-01_NA_02_01",0.3,5.8,2.4,8.5,7.8,2.4,18.8,68.8,2.8,90.4,"Lake Roosevelt"
"FPIPO1D10-01_NA_04_01",0,1.4,0.8,2.2,7.7,0,9.9,11.7,1.7,23.4,"Lake Roosevelt"
"FPIPO1D10-01_NA_-1_-1",0.2,2,1.6,3.8,0,2.3,6.1,59.7,6.2,72,"Lake Roosevelt"
"FPIPO1D10-01_NA_04_00",0,1.7,0.8,2.5,10,0,12.5,5,1.6,19.1,"Lake Roosevelt"
"FPIPO1D10-01_NA_04_05",0.4,3.9,3.3,7.6,14.7,0,22.2,7.9,2.3,32.4,"Lake Roosevelt"
"FPIPO1D10-01_NA_04_10",0.2,4.3,1.6,6.1,22,11.2,39.3,9.2,2.3,50.8,"Lake Roosevelt"
"FPIPO1D10-01_NA_05_00",0.2,1.4,1.6,3.1,15.5,4.2,22.8,10.9,2.7,36.3,"Lake Roosevelt"
"FPIPO1D10-02_NA_04_02",0.2,1.4,2.4,4,8,2.4,14.3,13.6,5.3,33.2,"Lake Roosevelt"
"FPIPO1D10-02_NA_02_01",0.2,5,3.3,8.5,14.2,1.5,24.1,45.3,3.2,72.6,"Lake Roosevelt"
"FPIPO1D10-02_NA_04_01",0,0.5,1.6,2.1,14.8,0,16.9,10.4,1.8,29,"Lake Roosevelt"
"FPIPO1D10-02_NA_-1_-1",0.2,3.8,3.3,7.2,1.9,1.5,10.6,49.5,5.8,65.9,"Lake Roosevelt"
"FPIPO1D10-02_NA_04_00",0.1,0.5,1.6,2.2,15,0,17.1,7.6,1.8,26.6,"Lake Roosevelt"
"FPIPO1D10-02_NA_04_05",0.4,6.1,3.3,9.7,35.1,0.8,45.6,14.6,2.5,62.7,"Lake Roosevelt"
"FPIPO1D10-02_NA_04_10",0.1,2.6,1.6,4.3,23,10.4,37.7,12.1,1.9,51.7,"Lake Roosevelt"
"FPIPO1D10-02_NA_05_00",0,0.8,3.3,4,7.8,4.2,16,11.9,1.7,29.6,"Lake Roosevelt"
"FPIPO1D10-03_NA_04_02",0.1,1.2,0,1.3,2.2,1.6,5.1,19.1,4.2,28.5,"Lake Roosevelt"
"FPIPO1D10-03_NA_02_01",0.1,4.1,1.6,5.8,14,1.3,21.1,56.9,1.9,79.9,"Lake Roosevelt"
"FPIPO1D10-03_NA_04_01",0,0.9,0,0.9,3.4,0,4.4,6.8,2,13.2,"Lake Roosevelt"
"FPIPO1D10-03_NA_-1_-1",0.1,3.6,3.3,7,4.6,2.9,14.5,52.9,4.3,71.6,"Lake Roosevelt"
"FPIPO1D10-03_NA_04_00",0.1,1.1,0.8,2,3.6,0,5.6,13.2,2.1,20.9,"Lake Roosevelt"
"FPIPO1D10-03_NA_04_05",0.1,1.4,0,1.4,34.7,0,36.1,9.1,5.3,50.5,"Lake Roosevelt"
"FPIPO1D10-03_NA_04_10",0.2,1.1,5.7,7,0,33.7,40.7,18.5,2.9,62.1,"Lake Roosevelt"
"FPIPO1D10-03_NA_04_15",0.2,2,1.6,3.8,10,17.9,31.6,5.8,5.3,42.8,"Lake Roosevelt"
"FPIPO1D10-04_NA_04_02",0.3,2.9,2.5,5.7,10.7,2.8,19.2,9.7,3.2,32.1,"Lake Roosevelt"
"FPIPO1D10-04_NA_02_01",0.1,8.4,8.2,16.8,25.4,6.8,48.9,58.8,2.7,110.4,"Lake Roosevelt"
"FPIPO1D10-04_NA_04_01",0,1.5,0,1.6,10.3,2.2,14.1,6.8,2,22.8,"Lake Roosevelt"
"FPIPO1D10-04_NA_-1_-1",0.1,5.7,7.4,13.1,17.6,2.1,32.9,59.6,4.1,96.6,"Lake Roosevelt"
"FPIPO1D10-04_NA_04_00",0,2.1,0.8,3,6.8,0,9.8,15.2,1.6,26.6,"Lake Roosevelt"
"FPIPO1D10-04_NA_04_05",0,2.9,3.3,6.2,19.6,0,25.8,8.4,4.4,38.6,"Lake Roosevelt"
"FPIPO1D10-04_NA_04_10",0.1,0.8,2.5,3.4,0.8,14.5,18.7,14.4,4,37.1,"Lake Roosevelt"
"FPIPO1D10-04_NA_04_15",0.8,1.4,0.8,3,8,10.8,21.8,8,6.7,36.5,"Lake Roosevelt"
"FPIPO1D10-05_NA_04_02",1.7,2.1,3.3,7.1,9.3,5.3,21.7,18.8,6.6,47.2,"Lake Roosevelt"
"FPIPO1D10-05_NA_02_01",0,3,6.5,9.6,30.7,2.2,42.5,59.7,3.1,105.3,"Lake Roosevelt"
"FPIPO1D10-05_NA_04_01",0.2,3.2,3.3,6.7,16.6,0,23.3,8.4,2.8,34.5,"Lake Roosevelt"
"FPIPO1D10-05_NA_-1_-1",0.2,4.1,9,13.3,9.6,9.4,32.2,62.9,3.7,98.8,"Lake Roosevelt"
"FPIPO1D10-05_NA_04_00",0.3,2.4,2.4,5.2,13.3,0,18.5,14.3,1.7,34.6,"Lake Roosevelt"
"FPIPO1D10-05_NA_04_05",0,2.4,4.1,6.5,22.8,1.5,30.8,21.6,4.4,56.8,"Lake Roosevelt"
"FPIPO1D10-05_NA_04_10",0.2,1.2,0,1.5,21.8,0,23.2,7.8,2.7,33.8,"Lake Roosevelt"
"FPIPO1D10-05_NA_04_15",0.1,0.5,0.8,1.3,1,14.7,17,5.9,6.1,29,"Lake Roosevelt"
"FPIPO1D10-06_NA_02_01",0.5,2.9,0.8,4.2,0.6,0,4.8,13.8,2.4,21,"Lake Roosevelt"
"FPIPO1D10-06_NA_-1_-1",0.7,1.1,0,1.8,0,1.9,3.7,66,4.9,74.6,"Lake Roosevelt"
"FPIPO1D10-06_NA_07_02",0.2,2.4,0,2.6,0,0,2.6,6.9,4.9,14.4,"Lake Roosevelt"
"FPIPO1D10-06_NA_07_00",0.3,2.3,0,2.6,0,0,2.6,3.1,1.4,7.1,"Lake Roosevelt"
"FPIPO1D10-06_NA_07_05",0.3,1.5,1.6,3.4,2.5,0,5.9,3,4.7,13.6,"Lake Roosevelt"
"FPIPO1D10-07_NA_-1_-1",0.3,2.7,0.8,3.8,0,0.6,4.4,64.8,3.5,72.8,"Lake Roosevelt"
"FPIPO1D10-07_NA_07_02",0.3,2.9,0,3.1,1.3,0,4.4,7.5,4.7,16.6,"Lake Roosevelt"
"FPIPO1D10-07_NA_02_02",0.4,5.3,5.7,11.4,0.4,0,11.8,8.6,2.2,22.6,"Lake Roosevelt"
"FPIPO1D10-07_NA_07_00",0.2,3.2,0.1,3.5,0.8,1.8,6.1,2.1,1.3,9.4,"Lake Roosevelt"
"FPIPO1D10-07_NA_07_05",0.3,3.2,0,3.5,0.9,1.2,5.6,5.5,5.6,16.7,"Lake Roosevelt"
"FPIPO1D10-08_NA_04_01",0.1,1.1,0,1.1,0.3,0,1.4,3.7,1.7,6.9,"Lake Roosevelt"
"FPIPO1D10-08_NA_-1_-1",0.5,7.1,1.6,9.2,1.2,3.3,13.8,64.7,7.7,86.2,"Lake Roosevelt"
"FPIPO1D10-08_NA_04_00",0.3,0.6,0,0.9,0.3,0,1.2,2.9,3,7,"Lake Roosevelt"
"FPIPO1D10-08_NA_07_02",0.3,2.9,1.6,4.8,0,0,4.8,1.9,2.3,9,"Lake Roosevelt"
"FPIPO1D10-08_NA_12_00",0.2,1.5,3.3,5,8.2,1.2,14.4,4.4,1.9,20.8,"Lake Roosevelt"
"FPIPO1D10-08_NA_12_01",0.2,1.5,3.3,5,8.2,1.2,14.4,4.4,1.9,20.8,"Lake Roosevelt"
"FPIPO1D10-08_NA_12_02",0.4,1.8,2.4,4.6,1.1,1.3,7.1,4,2.2,13.3,"Lake Roosevelt"
"FPIPO1D10-08_NA_12_05",0,5.2,2.4,7.6,8.5,1,17.1,6.5,3.6,27.2,"Lake Roosevelt"
"FPIPO1D10-09_NA_04_02",0.3,5.5,5.7,11.4,39.3,0,50.8,17.4,4.8,72.9,"Lake Roosevelt"
"FPIPO1D10-09_NA_04_01",0,0.9,4.9,5.8,21.9,0,27.7,9.1,3.4,40.2,"Lake Roosevelt"
"FPIPO1D10-09_NA_-1_-1",0.4,1.8,3.3,5.5,0,0.3,5.7,69.4,6,81.1,"Lake Roosevelt"
"FPIPO1D10-09_NA_04_00",0.2,0.9,4.1,5.1,15.1,0,20.2,10.4,1.2,31.8,"Lake Roosevelt"
"FPIPO1D10-09_NA_04_05",0.2,12.3,14.7,27.2,55.5,0,82.7,21.2,3.2,107.1,"Lake Roosevelt"
"FPIPO1D10-09_NA_04_10",0.1,8.5,18.7,27.3,42,10.8,80.2,6.2,2.3,88.7,"Lake Roosevelt"
"FPIPO1D10-09_NA_05_00",0.1,1.7,4.1,5.8,10.6,80.4,96.8,10.3,3,110,"Lake Roosevelt"
"FPIPO1D10-10_NA_04_02",0,1.7,3.3,5,0,5.6,10.5,23.6,2.9,37,"Lake Roosevelt"
"FPIPO1D10-10_NA_02_01",0.1,5.2,1.6,6.9,9.4,0,16.3,22.3,7.3,45.8,"Lake Roosevelt"
"FPIPO1D10-10_NA_-1_-1",0,2,2.4,4.4,4.4,0.7,9.5,34.3,13.5,57.4,"Lake Roosevelt"
"FPIPO1D10-10_NA_04_00",0,0.8,0.8,1.6,0,6.4,8,29.8,3.3,41.1,"Lake Roosevelt"
"FPIPO1D10-11_NA_04_02",0.3,3.3,3.3,6.9,19.9,3.7,30.4,21.2,3.5,55.2,"Lake Roosevelt"
"FPIPO1D10-11_NA_02_01",0.2,2.4,4.1,6.7,18.9,3.5,29.1,18,7.7,54.8,"Lake Roosevelt"
"FPIPO1D10-11_NA_-1_-1",0,1.8,4.1,5.9,8.6,4.5,19,32.9,12.8,64.6,"Lake Roosevelt"
"FPIPO1D10-11_NA_04_00",0.2,2.3,3.3,5.7,13.4,20.5,39.6,24.7,2.6,66.9,"Lake Roosevelt"
"FPIPO1D10-12_NA_04_02",0.1,2,4.9,7,2.6,11.3,20.9,20.4,4.2,45.5,"Lake Roosevelt"
"FPIPO1D10-12_NA_02_01",0.4,4.1,7.4,11.8,9.1,12.7,33.5,20.5,6.3,60.3,"Lake Roosevelt"
"FPIPO1D10-12_NA_-1_-1",0.5,5.6,7.4,13.5,1.6,13.4,28.5,36.7,11.3,76.5,"Lake Roosevelt"
"FPIPO1D10-12_NA_04_00",0,2,1.6,3.6,6,4,13.6,14.6,2.4,30.6,"Lake Roosevelt"
"FPIPO1D10-13_NA_02_01",0.8,5.3,21.2,27.3,19.2,10.5,57,25.1,4.9,86.9,"Lake Roosevelt"
"FPIPO1D10-13_NA_-1_-1",0.1,5.5,4.9,10.5,2,10.1,22.5,51.7,12.8,87,"Lake Roosevelt"
"FPIPO1D10-13_NA_14_01",0.3,4.7,9.8,14.8,14.5,2.8,32.1,20.1,4.6,56.9,"Lake Roosevelt"
"FPIPO1D10-13_NA_14_00",0.3,4.7,9.8,14.8,13.5,2.8,31.1,21,4.6,56.8,"Lake Roosevelt"
"FPIPO1D10-13_NA_14_02",0.2,6.8,4.9,11.9,8.5,8.1,28.5,19.5,3,51,"Lake Roosevelt"
"FPIPO1D10-13_NA_14_05",0.4,4.7,9.8,14.9,6.6,7,28.5,23.2,5.9,57.6,"Lake Roosevelt"
"FPIPO1D10-14_NA_02_01",0.3,1.5,2.4,4.3,24.9,18.5,47.7,38.9,10.6,97.2,"Lake Roosevelt"
"FPIPO1D10-14_NA_-1_-1",0.1,0.8,4.1,5,15.6,18.4,38.9,54.3,4.7,97.9,"Lake Roosevelt"
"FPIPO1D10-14_NA_04_00",0.2,1.1,3.3,4.5,46.6,22.8,73.9,15.6,3,92.5,"Lake Roosevelt"
"FPIPO1D10-14_NA_04_05",0.2,2.1,4.1,6.4,1.6,23.9,31.8,24.8,8.5,65.1,"Lake Roosevelt"
"FPIPO1D10-14_NA_04_03",0.3,2,1.6,3.9,9.4,17.5,30.8,25.6,4.5,60.9,"Lake Roosevelt"
"FPIPO1D10-15_NA_02_01",0.6,0.9,2.4,4,9.3,27.8,41.1,36.9,7.9,85.9,"Lake Roosevelt"
"FPIPO1D10-15_NA_-1_-1",1.2,1.4,3.3,5.8,2.8,31.4,40,43.7,7.6,91.3,"Lake Roosevelt"
"FPIPO1D10-15_NA_04_00",0.5,2,0.8,3.3,1.1,7.4,11.8,15.7,3.4,30.9,"Lake Roosevelt"
"FPIPO1D10-15_NA_04_05",0.9,3.8,0.8,5.5,0,6.8,12.3,28.9,8.3,49.5,"Lake Roosevelt"
"FPIPO1D10-15_NA_04_03",1.3,4,2.5,7.8,0,10.1,17.8,34.1,4.5,56.4,"Lake Roosevelt"
"FPIPO1D10-16_NA_02_01",0.5,5.2,1.6,7.3,21.4,2.3,31,46.5,12,89.5,"Lake Roosevelt"
"FPIPO1D10-16_NA_-1_-1",0.5,6.7,1.6,8.8,17.7,1.9,28.5,77.8,10.8,117.1,"Lake Roosevelt"
"FPIPO1D10-16_NA_04_00",0,2.3,0.8,3.1,29.1,3.2,35.4,22.8,2.6,60.7,"Lake Roosevelt"
"FPIPO1D10-16_NA_04_05",0.1,1.7,0.8,2.6,26.2,5.3,34.1,20.9,6,61,"Lake Roosevelt"
"FPIPO1D10-16_NA_04_03",0,1.2,1.6,2.9,20,17.3,40.2,29,3.8,73,"Lake Roosevelt"
"FPIPO1D10-17_NA_-1_-1",0.2,1.8,3.3,5.3,57.3,20.1,82.7,43.3,11.5,137.5,"Lake Roosevelt"
"FPIPO1D10-17_NA_03_00",1,4.6,1.6,7.2,14.3,62.3,83.8,83.7,7,174.5,"Lake Roosevelt"
"FPIPO1D10-17_NA_03_01",1,4.6,1.6,7.2,14.3,62.3,83.8,92.9,9.8,186.5,"Lake Roosevelt"
"FPIPO1D10-17_NA_03_02",0.6,4.2,2.4,7.3,7.2,118.9,133.4,78.6,5.3,217.3,"Lake Roosevelt"
"FPIPO1D10-17_NA_03_05",0.4,0.5,0,0.8,1.8,58.3,61,40.7,7.7,109.4,"Lake Roosevelt"
"FPIPO1D10-18_NA_-1_-1",0.9,4.8,6,11.7,19.9,34.2,65.8,31.3,5.7,102.7,"Lake Roosevelt"
"FPIPO1D10-18_NA_03_00",0.6,5.9,4.2,10.7,6.8,15.3,32.7,43,11.5,87.2,"Lake Roosevelt"
"FPIPO1D10-18_NA_03_01",0.6,5.9,4.2,10.7,6.8,15.3,32.7,43,11.5,87.2,"Lake Roosevelt"
"FPIPO1D10-18_NA_03_02",0.2,6.4,10.9,17.4,21.2,26.6,65.2,63.3,7.9,136.5,"Lake Roosevelt"
"FPIPO1D10-18_NA_03_05",0.1,7.2,11.8,19.2,11.2,25.8,56.2,47,8.2,111.3,"Lake Roosevelt"
"FPIPO1D10-19_NA_-1_-1",0.8,2.3,0,3.2,9.5,3.9,16.6,33,8.8,58.3,"Lake Roosevelt"
