MacroPlot Purpose,MacroPlot UTM X,MacroPlot UTM Y,MacroPlot UTM Zone,MacroPlot Name,Monitoring Status,Date,Index,Transect,SampLoc,OffSet,LittDep,DuffDep,FuelbedDep,DLFuConSt,Comment,UV1,UV2,UV3,NumTran,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Visited
Clark,5341749,413506,11U,FPIPO1D10-26,03Post,7/6/2013 16:08,-2147483621,3,35,FALSE,0.2,0.3,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Post,7/6/2013 16:08,-2147483620,3,40,FALSE,0.1,0.2,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Post,7/6/2013 16:08,-2147483619,3,45,FALSE,0,0,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Post,7/6/2013 16:08,-2147483618,4,1,FALSE,0.2,0.3,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Post,7/6/2013 16:08,-2147483617,4,5,FALSE,0.3,0.3,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Post,7/6/2013 16:08,-2147483616,4,10,FALSE,0.1,0.4,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Post,7/6/2013 16:08,-2147483615,4,15,FALSE,0.7,3.2,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Post,7/6/2013 16:08,-2147483614,4,20,FALSE,1,1.5,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Post,7/6/2013 16:08,-2147483613,4,25,FALSE,0.1,0.3,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Post,7/6/2013 16:08,-2147483612,4,30,FALSE,0.2,1,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Post,7/6/2013 16:08,-2147483611,4,35,FALSE,0.3,0.7,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Post,7/6/2013 16:08,-2147483610,4,40,FALSE,0.1,0.1,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Post,7/6/2013 16:08,-2147483609,4,45,FALSE,0.1,0.1,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year01,7/6/2013 13:22,,,,,,,,,,,,,4,,,,,,,TRUE
Clark,5341749,413506,11U,FPIPO1D10-26,03Year01,7/6/2013 13:22,-2147483648,1,1,FALSE,0.3,0.4,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year01,7/6/2013 13:22,-2147483647,1,5,FALSE,0.2,0.5,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year01,7/6/2013 13:22,-2147483646,1,10,FALSE,0.1,0.4,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year01,7/6/2013 13:22,-2147483645,1,15,FALSE,0.4,0.6,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year01,7/6/2013 13:22,-2147483644,1,20,FALSE,0.2,0.3,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year01,7/6/2013 13:22,-2147483643,1,25,FALSE,0.5,0.6,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year01,7/6/2013 13:22,-2147483642,1,30,FALSE,0.1,0.1,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year01,7/6/2013 13:22,-2147483641,1,35,FALSE,0.2,0.5,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year01,7/6/2013 13:22,-2147483640,1,40,FALSE,0.3,0.6,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year01,7/6/2013 13:22,-2147483639,1,45,FALSE,0.4,0.5,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year01,7/6/2013 13:22,-2147483638,2,1,FALSE,0.2,1.1,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year01,7/6/2013 13:22,-2147483637,2,5,FALSE,0.1,0.5,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year01,7/6/2013 13:22,-2147483636,2,10,FALSE,0.2,1,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year01,7/6/2013 13:22,-2147483635,2,15,FALSE,0.2,0.4,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year01,7/6/2013 13:22,-2147483634,2,20,FALSE,0.2,0.3,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year01,7/6/2013 13:22,-2147483633,2,25,FALSE,0.2,0.3,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year01,7/6/2013 13:22,-2147483632,2,30,FALSE,0.1,0.2,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year01,7/6/2013 13:22,-2147483631,2,35,FALSE,0.2,0.2,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year01,7/6/2013 13:22,-2147483630,2,40,FALSE,0.1,0.3,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year01,7/6/2013 13:22,-2147483629,2,45,FALSE,0.1,0.4,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year01,7/6/2013 13:22,-2147483628,3,1,FALSE,0.3,0.7,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year01,7/6/2013 13:22,-2147483627,3,5,FALSE,0.4,0.5,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year01,7/6/2013 13:22,-2147483626,3,10,FALSE,0.4,0.5,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year01,7/6/2013 13:22,-2147483625,3,15,FALSE,0.3,0.5,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year01,7/6/2013 13:22,-2147483624,3,20,FALSE,0.4,0.6,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year01,7/6/2013 13:22,-2147483623,3,25,FALSE,0.4,1.1,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year01,7/6/2013 13:22,-2147483622,3,30,FALSE,0.7,0.6,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year01,7/6/2013 13:22,-2147483621,3,35,FALSE,0.2,0.3,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year01,7/6/2013 13:22,-2147483620,3,40,FALSE,0.1,0.2,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year01,7/6/2013 13:22,-2147483619,3,45,FALSE,0,0,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year01,7/6/2013 13:22,-2147483618,4,1,FALSE,0.2,0.3,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year01,7/6/2013 13:22,-2147483617,4,5,FALSE,0.3,0.3,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year01,7/6/2013 13:22,-2147483616,4,10,FALSE,0.1,0.4,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year01,7/6/2013 13:22,-2147483615,4,15,FALSE,0.7,3.2,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year01,7/6/2013 13:22,-2147483614,4,20,FALSE,1,1.5,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year01,7/6/2013 13:22,-2147483613,4,25,FALSE,0.1,0.3,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year01,7/6/2013 13:22,-2147483612,4,30,FALSE,0.2,1,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year01,7/6/2013 13:22,-2147483611,4,35,FALSE,0.3,0.7,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year01,7/6/2013 13:22,-2147483610,4,40,FALSE,0.1,0.1,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year01,7/6/2013 13:22,-2147483609,4,45,FALSE,0.1,0.1,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year02,9/29/2014 15:23,,,,,,,,,,,,,4,CD; JRB,CD; JRB,,,,,TRUE
Clark,5341749,413506,11U,FPIPO1D10-26,03Year02,9/29/2014 15:23,-2147483648,1,1,FALSE,0.2,0.1,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year02,9/29/2014 15:23,-2147483647,1,5,FALSE,0.2,1.1,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year02,9/29/2014 15:23,-2147483646,1,10,FALSE,0.2,0.9,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year02,9/29/2014 15:23,-2147483645,1,15,FALSE,0.3,0.2,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year02,9/29/2014 15:23,-2147483644,1,20,FALSE,0.2,0.1,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year02,9/29/2014 15:23,-2147483643,1,25,FALSE,0.1,0.6,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year02,9/29/2014 15:23,-2147483642,1,30,FALSE,0.2,0.4,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year02,9/29/2014 15:23,-2147483641,1,35,FALSE,0.2,0.2,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year02,9/29/2014 15:23,-2147483640,1,40,FALSE,0.3,1.1,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year02,9/29/2014 15:23,-2147483639,1,45,FALSE,0.5,1,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year02,9/29/2014 15:23,-2147483638,2,1,FALSE,0.1,0.6,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year02,9/29/2014 15:23,-2147483637,2,5,FALSE,0.4,0.2,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year02,9/29/2014 15:23,-2147483636,2,10,FALSE,0.2,0.4,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year02,9/29/2014 15:23,-2147483635,2,15,FALSE,0.2,1.2,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year02,9/29/2014 15:23,-2147483634,2,20,FALSE,0.1,0.3,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year02,9/29/2014 15:23,-2147483633,2,25,TRUE,0.4,1.2,,LARO,1ft rt.,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year02,9/29/2014 15:23,-2147483632,2,30,FALSE,0.1,0,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year02,9/29/2014 15:23,-2147483631,2,35,FALSE,0.2,0.5,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year02,9/29/2014 15:23,-2147483630,2,40,FALSE,0.1,1,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year02,9/29/2014 15:23,-2147483629,2,45,FALSE,0.1,0.4,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year02,9/29/2014 15:23,-2147483628,3,1,FALSE,0.7,0.1,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year02,9/29/2014 15:23,-2147483627,3,5,FALSE,0.6,1.1,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year02,9/29/2014 15:23,-2147483626,3,10,FALSE,0.1,0.9,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year02,9/29/2014 15:23,-2147483625,3,15,FALSE,1.1,0.8,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year02,9/29/2014 15:23,-2147483624,3,20,FALSE,0.3,0.8,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year02,9/29/2014 15:23,-2147483623,3,25,FALSE,0.6,1.3,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year02,9/29/2014 15:23,-2147483622,3,30,FALSE,0.6,0.7,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year02,9/29/2014 15:23,-2147483621,3,35,FALSE,0.1,0.4,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year02,9/29/2014 15:23,-2147483620,3,40,FALSE,0.3,0.5,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year02,9/29/2014 15:23,-2147483619,3,45,FALSE,0.3,0,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year02,9/29/2014 15:23,-2147483618,4,1,FALSE,0.3,0.7,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year02,9/29/2014 15:23,-2147483617,4,5,FALSE,0.2,0.5,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year02,9/29/2014 15:23,-2147483616,4,10,FALSE,0.3,0.7,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year02,9/29/2014 15:23,-2147483615,4,15,FALSE,0.2,6.4,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year02,9/29/2014 15:23,-2147483614,4,20,FALSE,0.2,0.5,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year02,9/29/2014 15:23,-2147483613,4,25,FALSE,0.2,0.8,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year02,9/29/2014 15:23,-2147483612,4,30,FALSE,0.2,0.3,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year02,9/29/2014 15:23,-2147483611,4,35,FALSE,0.2,0.4,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year02,9/29/2014 15:23,-2147483610,4,40,FALSE,0.7,1.2,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,03Year02,9/29/2014 15:23,-2147483609,4,45,FALSE,0.3,1.5,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,15Post,9/28/2015 10:46,,,,,,,,,,,,,4,LGG; AKC,LGG,,,,,TRUE
Clark,5341749,413506,11U,FPIPO1D10-26,15Post,9/28/2015 10:46,-2147483648,1,1,FALSE,0.3,0,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,15Post,9/28/2015 10:46,-2147483647,1,5,FALSE,0.2,0.7,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,15Post,9/28/2015 10:46,-2147483646,1,10,FALSE,0.7,0.4,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,15Post,9/28/2015 10:46,-2147483645,1,15,FALSE,0.7,0.3,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,15Post,9/28/2015 10:46,-2147483644,1,20,FALSE,0.1,1.3,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,15Post,9/28/2015 10:46,-2147483643,1,25,FALSE,1.3,0.4,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,15Post,9/28/2015 10:46,-2147483642,1,30,FALSE,3.7,0,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,15Post,9/28/2015 10:46,-2147483641,1,35,FALSE,0.9,0.6,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,15Post,9/28/2015 10:46,-2147483640,1,40,FALSE,0.6,1.1,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,15Post,9/28/2015 10:46,-2147483639,1,45,FALSE,0.1,2.3,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,15Post,9/28/2015 10:46,-2147483638,2,1,FALSE,0.6,0.2,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,15Post,9/28/2015 10:46,-2147483637,2,5,FALSE,0.1,0.5,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,15Post,9/28/2015 10:46,-2147483636,2,10,FALSE,0.7,0.3,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,15Post,9/28/2015 10:46,-2147483635,2,15,FALSE,0.3,0.6,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,15Post,9/28/2015 10:46,-2147483634,2,20,FALSE,0.1,0,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,15Post,9/28/2015 10:46,-2147483633,2,25,FALSE,1.1,0.1,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,15Post,9/28/2015 10:46,-2147483632,2,30,FALSE,0.6,0.2,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,15Post,9/28/2015 10:46,-2147483631,2,35,FALSE,1.8,0.2,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,15Post,9/28/2015 10:46,-2147483630,2,40,FALSE,0.8,0.2,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,15Post,9/28/2015 10:46,-2147483629,2,45,FALSE,0.6,0.3,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,15Post,9/28/2015 10:46,-2147483628,3,1,FALSE,0.7,1.2,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,15Post,9/28/2015 10:46,-2147483627,3,5,FALSE,0.5,1.3,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,15Post,9/28/2015 10:46,-2147483626,3,10,FALSE,0.2,0.8,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,15Post,9/28/2015 10:46,-2147483625,3,15,FALSE,0.6,1.3,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,15Post,9/28/2015 10:46,-2147483624,3,20,FALSE,0.5,0.7,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,15Post,9/28/2015 10:46,-2147483623,3,25,FALSE,0.3,1.4,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,15Post,9/28/2015 10:46,-2147483622,3,30,FALSE,0.4,1.2,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,15Post,9/28/2015 10:46,-2147483621,3,35,FALSE,0.3,1.2,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,15Post,9/28/2015 10:46,-2147483620,3,40,FALSE,0.4,0.9,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,15Post,9/28/2015 10:46,-2147483619,3,45,FALSE,0.5,1,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,15Post,9/28/2015 10:46,-2147483618,4,1,FALSE,0.8,0.7,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,15Post,9/28/2015 10:46,-2147483617,4,5,FALSE,0.2,0,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,15Post,9/28/2015 10:46,-2147483616,4,10,FALSE,0.2,0.8,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,15Post,9/28/2015 10:46,-2147483615,4,15,FALSE,1.3,3.6,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,15Post,9/28/2015 10:46,-2147483614,4,20,FALSE,0.5,1.1,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,15Post,9/28/2015 10:46,-2147483613,4,25,FALSE,0.8,1.2,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,15Post,9/28/2015 10:46,-2147483612,4,30,FALSE,0.7,1.1,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,15Post,9/28/2015 10:46,-2147483611,4,35,FALSE,0.2,0.8,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,15Post,9/28/2015 10:46,-2147483610,4,40,FALSE,2,1,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,15Post,9/28/2015 10:46,-2147483609,4,45,FALSE,1,2,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,15Year01,9/28/2015 13:22,,,,,,,,,,,,,4,LGG; AKC,LGG,,,,,TRUE
Clark,5341749,413506,11U,FPIPO1D10-26,15Year01,9/28/2015 13:22,-2147483648,1,1,FALSE,0.3,0,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,15Year01,9/28/2015 13:22,-2147483647,1,5,FALSE,0.2,0.7,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,15Year01,9/28/2015 13:22,-2147483646,1,10,FALSE,0.7,0.4,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,15Year01,9/28/2015 13:22,-2147483645,1,15,FALSE,0.7,0.3,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,15Year01,9/28/2015 13:22,-2147483644,1,20,FALSE,0.1,1.3,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,15Year01,9/28/2015 13:22,-2147483643,1,25,FALSE,1.3,0.4,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,15Year01,9/28/2015 13:22,-2147483642,1,30,FALSE,3.7,0,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,15Year01,9/28/2015 13:22,-2147483641,1,35,FALSE,0.9,0.6,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,15Year01,9/28/2015 13:22,-2147483640,1,40,FALSE,0.6,1.1,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,15Year01,9/28/2015 13:22,-2147483639,1,45,FALSE,0.1,2.3,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,15Year01,9/28/2015 13:22,-2147483638,2,1,FALSE,0.6,0.2,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,15Year01,9/28/2015 13:22,-2147483637,2,5,FALSE,0.1,0.5,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,15Year01,9/28/2015 13:22,-2147483636,2,10,FALSE,0.7,0.3,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,15Year01,9/28/2015 13:22,-2147483635,2,15,FALSE,0.3,0.6,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,15Year01,9/28/2015 13:22,-2147483634,2,20,FALSE,0.1,0,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,15Year01,9/28/2015 13:22,-2147483633,2,25,FALSE,1.1,0.1,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,15Year01,9/28/2015 13:22,-2147483632,2,30,FALSE,0.6,0.2,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,15Year01,9/28/2015 13:22,-2147483631,2,35,FALSE,1.8,0.2,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,15Year01,9/28/2015 13:22,-2147483630,2,40,FALSE,0.8,0.2,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,15Year01,9/28/2015 13:22,-2147483629,2,45,FALSE,0.6,0.3,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,15Year01,9/28/2015 13:22,-2147483628,3,1,FALSE,0.7,1.2,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,15Year01,9/28/2015 13:22,-2147483627,3,5,FALSE,0.5,1.3,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,15Year01,9/28/2015 13:22,-2147483626,3,10,FALSE,0.2,0.8,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,15Year01,9/28/2015 13:22,-2147483625,3,15,FALSE,0.6,1.3,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,15Year01,9/28/2015 13:22,-2147483624,3,20,FALSE,0.5,0.7,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,15Year01,9/28/2015 13:22,-2147483623,3,25,FALSE,0.3,1.4,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,15Year01,9/28/2015 13:22,-2147483622,3,30,FALSE,0.4,1.2,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,15Year01,9/28/2015 13:22,-2147483621,3,35,FALSE,0.3,1.2,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,15Year01,9/28/2015 13:22,-2147483620,3,40,FALSE,0.4,0.9,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,15Year01,9/28/2015 13:22,-2147483619,3,45,FALSE,0.5,1,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,15Year01,9/28/2015 13:22,-2147483618,4,1,FALSE,0.8,0.7,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,15Year01,9/28/2015 13:22,-2147483617,4,5,FALSE,0.2,0,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,15Year01,9/28/2015 13:22,-2147483616,4,10,FALSE,0.2,0.8,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,15Year01,9/28/2015 13:22,-2147483615,4,15,FALSE,1.3,3.6,,LARO,,,,,,,,,,,,
Clark,5341749,413506,11U,FPIPO1D10-26,15Year01,9/28/2015 13:22,-2147483614,4,20,FALSE,0.5,1.1,,LARO,,,,,,,,,,,,
